# State Code or Tribal Indicator (TT)|County Code or Tribal Code|Site_ID number|Parameter Code|POC|Sampling Begin Date-Time (YYYYMMDD HHMM)|Sample Value|Null Data Code|Null Code Description|Null Code Concurrence|Null Extra|Units Code|Units Description|Event Type Code|Event Type Description|Event-Sample Association Date|Event Description|Event Creation Date|Event coment text or URL|Standard for Concurrence 1|Concurrence Indicator 1|Concurrence Date 1|Concurrence Comment 1|Standard for Concurrence 2|Concurrence Indicator 2|Concurrence Date 2|Concurrence Comment 2|Standard for Concurrence 3|Concurrence Indicator 3|Concurrence Date 3|Concurrence Comment 3|Standard for Concurrence 4|Concurrence Indicator 4|Concurrence Date 4|Concurrence Comment 4|QA Qualifier Code 1|QA Qualifier Description 1|QA Qualifier 1 Comment|QA Qualifier Code 2|QA Qualifier Description 2|QA Qualifier 2 Comment|QA Qualifier Code 3|QA Qualifier Description 3|QA Qualifier 3 Comment|QA Qualifier Code 4|QA Qualifier Description 4|QA Qualifier 4 Comment|QA Qualifier Code 5|QA Qualifier Description 5|QA Qualifier 5 Comment|QA Qualifier Code 6|QA Qualifier Description 6|QA Qualifier 6 Comment|QA Qualifier Code 7|QA Qualifier Description 7|QA Qualifier 7 Comment|QA Qualifier Code 8|QA Qualifier Description 8|QA Qualifier 8 Comment|QA Qualifier Code 9|QA Qualifier Description 9|QA Qualifier 9 Comment|QA Qualifier Code 10|QA Qualifier Description 10|QA Qualifier 10 Comment
22|005|0004|44201|1|20170914 12:00|.078|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 12:00|.078|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 12:00|.078|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 13:00|.073|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 13:00|.073|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 13:00|.073|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 13:00|.073|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 13:00|.073|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 13:00|.073|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 13:00|.073|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 14:00|.075|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 14:00|.075|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 14:00|.075|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 14:00|.075|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 14:00|.075|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 14:00|.075|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 14:00|.075|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 15:00|.087|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 15:00|.087|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 15:00|.087|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 15:00|.087|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 15:00|.087|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 15:00|.087|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 15:00|.087|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 16:00|.082|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 16:00|.082|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 16:00|.082|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 16:00|.082|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 16:00|.082|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 16:00|.082|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 16:00|.082|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires|Ozone 1-hour 1979|Y|17-APR-18||Ozone 8-Hour 1997|Y|17-APR-18||Ozone 8-Hour 2008|Y|17-APR-18||Ozone 8-hour 2015|Y|17-APR-18|||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 17:00|.066|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 17:00|.066|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 17:00|.066|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 17:00|.066|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 17:00|.066|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 17:00|.066|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20170914 17:00|.066|||||007|Parts per million|RT|Wildfire-U. S.|20171107 00:00|Measurement for majority sites in excess of normal recent year's fluctuations.|20171107 16:20|data influenced by wildfires||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 11:00|.077|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 11:00|.077|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 11:00|.077|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 11:00|.077|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 11:00|.077|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 11:00|.077|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 11:00|.077|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 12:00|.08|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 12:00|.08|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 12:00|.08|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 12:00|.08|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 12:00|.08|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 12:00|.08|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 12:00|.08|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 13:00|.071|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 13:00|.071|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 13:00|.071|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 13:00|.071|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 13:00|.071|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 13:00|.071|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|005|0004|44201|1|20200618 13:00|.071|||||007|Parts per million|RG|Fire - Mexico/Central America.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 12:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 12:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 13:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 13:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 14:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 14:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 15:00|.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 15:00|.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 16:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 16:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 17:00|.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 17:00|.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 18:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 18:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 19:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 19:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 20:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 20:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 21:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 21:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 22:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 22:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 23:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160202 23:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 00:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 00:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 01:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 01:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 02:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 02:00|.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 03:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 03:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 04:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 04:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 05:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 05:00|.2|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 06:00|.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 06:00|.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 07:00|.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 07:00|.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 08:00|.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 08:00|.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 09:00|.6|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42401|1|20160203 09:00|.6|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 12:00|15.7|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 12:00|15.7|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 12:00|15.7|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 12:00|15.7|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 13:00|12.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 13:00|12.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 13:00|12.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 13:00|12.1|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 14:00|7.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 14:00|7.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 14:00|7.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 14:00|7.3|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 15:00|11.9|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 15:00|11.9|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 15:00|11.9|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 15:00|11.9|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 16:00|12.8|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 16:00|12.8|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 16:00|12.8|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 16:00|12.8|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
22|019|0008|42602|1|20160202 17:00|15.7|||||008|Parts per billion|RL|Other.||||||||||||||||||||||||||||||||||||||||||||||||||
